geometry,geometry_index,sequence_index,base_seed,independent_unit,profile_run_count_per_block,profiles_are_paired,seed_scheme,truth_provenance,truth_seed,nominal_bearing_noise_provenance,nominal_bearing_noise_seed,transport_loss_uniform_provenance,transport_loss_uniform_seed,transport_delay_uniform_provenance,transport_delay_uniform_seed,outlier_mask_uniform_provenance,outlier_mask_uniform_seed,outlier_direction_provenance,outlier_direction_seed
informative,0,10,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:10:truth,8137690190483075459,s7cd1:20260910:0:10:nominal_bearing_noise,14761752597871220030,s7cd1:20260910:0:10:transport_loss_uniform,2046946366920617804,s7cd1:20260910:0:10:transport_delay_uniform,7016028943144298446,s7cd1:20260910:0:10:outlier_mask_uniform,1134446683029827218,s7cd1:20260910:0:10:outlier_direction,8758793995174576646
informative,0,11,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:11:truth,15009484573657759115,s7cd1:20260910:0:11:nominal_bearing_noise,15532460276152556856,s7cd1:20260910:0:11:transport_loss_uniform,12103227314919149705,s7cd1:20260910:0:11:transport_delay_uniform,6868513409561369662,s7cd1:20260910:0:11:outlier_mask_uniform,5692762287445458814,s7cd1:20260910:0:11:outlier_direction,12782291959448431777
informative,0,12,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:12:truth,2737896772767839877,s7cd1:20260910:0:12:nominal_bearing_noise,11418659766574829664,s7cd1:20260910:0:12:transport_loss_uniform,14694684457169264194,s7cd1:20260910:0:12:transport_delay_uniform,10346559922204302706,s7cd1:20260910:0:12:outlier_mask_uniform,8347864713131154452,s7cd1:20260910:0:12:outlier_direction,820102716315701524
informative,0,13,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:13:truth,11524349486373960337,s7cd1:20260910:0:13:nominal_bearing_noise,7677179983973521500,s7cd1:20260910:0:13:transport_loss_uniform,125369859099857416,s7cd1:20260910:0:13:transport_delay_uniform,8700836284481385914,s7cd1:20260910:0:13:outlier_mask_uniform,3077787578457870102,s7cd1:20260910:0:13:outlier_direction,11362956251852334810
informative,0,14,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:14:truth,13021063767721237549,s7cd1:20260910:0:14:nominal_bearing_noise,15045817240151776055,s7cd1:20260910:0:14:transport_loss_uniform,12174727394719311354,s7cd1:20260910:0:14:transport_delay_uniform,3313011366069686598,s7cd1:20260910:0:14:outlier_mask_uniform,8896829734729229736,s7cd1:20260910:0:14:outlier_direction,1163932465073977248
informative,0,15,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:15:truth,11860650094044217322,s7cd1:20260910:0:15:nominal_bearing_noise,427637646537134570,s7cd1:20260910:0:15:transport_loss_uniform,11669528353166528358,s7cd1:20260910:0:15:transport_delay_uniform,796199920328410555,s7cd1:20260910:0:15:outlier_mask_uniform,10119389561807187599,s7cd1:20260910:0:15:outlier_direction,6212565491582168397
informative,0,16,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:16:truth,13213965852917712643,s7cd1:20260910:0:16:nominal_bearing_noise,2905334575542651203,s7cd1:20260910:0:16:transport_loss_uniform,11511885999113022139,s7cd1:20260910:0:16:transport_delay_uniform,1030741169438634686,s7cd1:20260910:0:16:outlier_mask_uniform,17692420537294519509,s7cd1:20260910:0:16:outlier_direction,8074301250278893275
informative,0,17,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:17:truth,323128207144077536,s7cd1:20260910:0:17:nominal_bearing_noise,3057040913040553996,s7cd1:20260910:0:17:transport_loss_uniform,10803537407118342877,s7cd1:20260910:0:17:transport_delay_uniform,743131944527379686,s7cd1:20260910:0:17:outlier_mask_uniform,17431993427736211830,s7cd1:20260910:0:17:outlier_direction,4589090477768580439
informative,0,18,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:18:truth,13781213116744411553,s7cd1:20260910:0:18:nominal_bearing_noise,4865869991420634499,s7cd1:20260910:0:18:transport_loss_uniform,8953947674010846225,s7cd1:20260910:0:18:transport_delay_uniform,7610695791727974380,s7cd1:20260910:0:18:outlier_mask_uniform,2802344990475614610,s7cd1:20260910:0:18:outlier_direction,15536145892798308715
informative,0,19,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:19:truth,3358839030609240532,s7cd1:20260910:0:19:nominal_bearing_noise,17771908929735214454,s7cd1:20260910:0:19:transport_loss_uniform,13340225177164078349,s7cd1:20260910:0:19:transport_delay_uniform,17081215074017128185,s7cd1:20260910:0:19:outlier_mask_uniform,17676960030356988025,s7cd1:20260910:0:19:outlier_direction,14978971364928068559
informative,0,20,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:20:truth,15839318486493561118,s7cd1:20260910:0:20:nominal_bearing_noise,6602612331515392124,s7cd1:20260910:0:20:transport_loss_uniform,584407861018488897,s7cd1:20260910:0:20:transport_delay_uniform,8797989261568436967,s7cd1:20260910:0:20:outlier_mask_uniform,6955100626565667568,s7cd1:20260910:0:20:outlier_direction,4804152786880664871
informative,0,21,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:21:truth,2046046602575179620,s7cd1:20260910:0:21:nominal_bearing_noise,13138365343905583248,s7cd1:20260910:0:21:transport_loss_uniform,1392758576828261546,s7cd1:20260910:0:21:transport_delay_uniform,7444049971512929222,s7cd1:20260910:0:21:outlier_mask_uniform,16770029962687093898,s7cd1:20260910:0:21:outlier_direction,6192251176037859731
informative,0,22,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:22:truth,11902483148993206490,s7cd1:20260910:0:22:nominal_bearing_noise,15914048678104145820,s7cd1:20260910:0:22:transport_loss_uniform,3145119890715949828,s7cd1:20260910:0:22:transport_delay_uniform,6356400645778267296,s7cd1:20260910:0:22:outlier_mask_uniform,8442335609875059878,s7cd1:20260910:0:22:outlier_direction,7195926781548304949
informative,0,23,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:23:truth,5450227356877057511,s7cd1:20260910:0:23:nominal_bearing_noise,15330061416829708019,s7cd1:20260910:0:23:transport_loss_uniform,4499263335951669201,s7cd1:20260910:0:23:transport_delay_uniform,10720646189951513697,s7cd1:20260910:0:23:outlier_mask_uniform,7538357732183518187,s7cd1:20260910:0:23:outlier_direction,9016477415670523042
informative,0,24,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:24:truth,7748110875322749569,s7cd1:20260910:0:24:nominal_bearing_noise,2105466968845264547,s7cd1:20260910:0:24:transport_loss_uniform,5486243171871525697,s7cd1:20260910:0:24:transport_delay_uniform,10108109745183439555,s7cd1:20260910:0:24:outlier_mask_uniform,9045504548224107054,s7cd1:20260910:0:24:outlier_direction,16086691139180602753
informative,0,25,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:25:truth,2319615822530411492,s7cd1:20260910:0:25:nominal_bearing_noise,2380340445513925787,s7cd1:20260910:0:25:transport_loss_uniform,14216464965888203199,s7cd1:20260910:0:25:transport_delay_uniform,8126458494503640496,s7cd1:20260910:0:25:outlier_mask_uniform,12568388807565889095,s7cd1:20260910:0:25:outlier_direction,5636555302012633713
informative,0,26,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:26:truth,10691362591120696793,s7cd1:20260910:0:26:nominal_bearing_noise,12668452928338091969,s7cd1:20260910:0:26:transport_loss_uniform,4308927703410552058,s7cd1:20260910:0:26:transport_delay_uniform,9240145015370712907,s7cd1:20260910:0:26:outlier_mask_uniform,17346750071265596127,s7cd1:20260910:0:26:outlier_direction,10501227945625320175
informative,0,27,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:27:truth,3050851479909050599,s7cd1:20260910:0:27:nominal_bearing_noise,8137734244405125656,s7cd1:20260910:0:27:transport_loss_uniform,2770028867662295520,s7cd1:20260910:0:27:transport_delay_uniform,15718852277546400263,s7cd1:20260910:0:27:outlier_mask_uniform,7378258827219320968,s7cd1:20260910:0:27:outlier_direction,11140190589803164013
informative,0,28,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:28:truth,10434426435756922142,s7cd1:20260910:0:28:nominal_bearing_noise,10162139136262598083,s7cd1:20260910:0:28:transport_loss_uniform,2957037633792142954,s7cd1:20260910:0:28:transport_delay_uniform,3929339059768146748,s7cd1:20260910:0:28:outlier_mask_uniform,2201270654794649311,s7cd1:20260910:0:28:outlier_direction,5749198642262301964
informative,0,29,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:29:truth,6950934439427326315,s7cd1:20260910:0:29:nominal_bearing_noise,4353363613292032415,s7cd1:20260910:0:29:transport_loss_uniform,17095654421671765031,s7cd1:20260910:0:29:transport_delay_uniform,7214854437563790097,s7cd1:20260910:0:29:outlier_mask_uniform,3660923154906091087,s7cd1:20260910:0:29:outlier_direction,11136448489017716194
informative,0,30,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:30:truth,14711253193748331221,s7cd1:20260910:0:30:nominal_bearing_noise,10995221701420881484,s7cd1:20260910:0:30:transport_loss_uniform,626753088649931323,s7cd1:20260910:0:30:transport_delay_uniform,841890912638048461,s7cd1:20260910:0:30:outlier_mask_uniform,2745090910487490686,s7cd1:20260910:0:30:outlier_direction,9571326923789119217
informative,0,31,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:31:truth,5302542285100348047,s7cd1:20260910:0:31:nominal_bearing_noise,16151736980109267048,s7cd1:20260910:0:31:transport_loss_uniform,6311184521046445428,s7cd1:20260910:0:31:transport_delay_uniform,3482241654925410670,s7cd1:20260910:0:31:outlier_mask_uniform,12152881836360633900,s7cd1:20260910:0:31:outlier_direction,9368214864336289835
informative,0,32,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:32:truth,17160356613857477207,s7cd1:20260910:0:32:nominal_bearing_noise,14063736730698608751,s7cd1:20260910:0:32:transport_loss_uniform,7893874952730565653,s7cd1:20260910:0:32:transport_delay_uniform,16261139393854894803,s7cd1:20260910:0:32:outlier_mask_uniform,13064850286380493409,s7cd1:20260910:0:32:outlier_direction,13336019120998605458
informative,0,33,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:33:truth,17396795516165733055,s7cd1:20260910:0:33:nominal_bearing_noise,16902962716850710448,s7cd1:20260910:0:33:transport_loss_uniform,18041228537233754458,s7cd1:20260910:0:33:transport_delay_uniform,5450360371174514646,s7cd1:20260910:0:33:outlier_mask_uniform,11490040812320072454,s7cd1:20260910:0:33:outlier_direction,4822889851709949542
informative,0,34,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:34:truth,8347575215315540003,s7cd1:20260910:0:34:nominal_bearing_noise,15885795558192851221,s7cd1:20260910:0:34:transport_loss_uniform,3026436960862185397,s7cd1:20260910:0:34:transport_delay_uniform,9495610394458651664,s7cd1:20260910:0:34:outlier_mask_uniform,3282894193256902204,s7cd1:20260910:0:34:outlier_direction,10270350304285713519
informative,0,35,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:35:truth,7993365959843917192,s7cd1:20260910:0:35:nominal_bearing_noise,3851820391879711955,s7cd1:20260910:0:35:transport_loss_uniform,13780669285086574663,s7cd1:20260910:0:35:transport_delay_uniform,9796701253364929571,s7cd1:20260910:0:35:outlier_mask_uniform,5620852285083558103,s7cd1:20260910:0:35:outlier_direction,3385848166391554649
informative,0,36,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:36:truth,3422635015660446007,s7cd1:20260910:0:36:nominal_bearing_noise,2293395482798751872,s7cd1:20260910:0:36:transport_loss_uniform,17817843830975021639,s7cd1:20260910:0:36:transport_delay_uniform,12561878161458083378,s7cd1:20260910:0:36:outlier_mask_uniform,4114394774307829184,s7cd1:20260910:0:36:outlier_direction,13169449031382820278
informative,0,37,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:37:truth,8328464172069427588,s7cd1:20260910:0:37:nominal_bearing_noise,18408871375844703681,s7cd1:20260910:0:37:transport_loss_uniform,10082060192468962527,s7cd1:20260910:0:37:transport_delay_uniform,15198777620648817409,s7cd1:20260910:0:37:outlier_mask_uniform,11596205964620780870,s7cd1:20260910:0:37:outlier_direction,10725104047094474279
informative,0,38,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:38:truth,9331301610355904127,s7cd1:20260910:0:38:nominal_bearing_noise,3733301516552054015,s7cd1:20260910:0:38:transport_loss_uniform,17355697053538020338,s7cd1:20260910:0:38:transport_delay_uniform,12556171556692207847,s7cd1:20260910:0:38:outlier_mask_uniform,3189486132663902052,s7cd1:20260910:0:38:outlier_direction,14970434615345975281
informative,0,39,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:39:truth,17106779762177165051,s7cd1:20260910:0:39:nominal_bearing_noise,15624095811255439488,s7cd1:20260910:0:39:transport_loss_uniform,4888406929229127357,s7cd1:20260910:0:39:transport_delay_uniform,13122392267089539874,s7cd1:20260910:0:39:outlier_mask_uniform,2696245757042840558,s7cd1:20260910:0:39:outlier_direction,1744731830802347329
informative,0,40,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:40:truth,9889738891001023088,s7cd1:20260910:0:40:nominal_bearing_noise,11937052168561121303,s7cd1:20260910:0:40:transport_loss_uniform,12408977001129185962,s7cd1:20260910:0:40:transport_delay_uniform,12231574198432768246,s7cd1:20260910:0:40:outlier_mask_uniform,10241900875870409605,s7cd1:20260910:0:40:outlier_direction,18433054436081675115
informative,0,41,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:41:truth,13566836862968348102,s7cd1:20260910:0:41:nominal_bearing_noise,10255435156936489044,s7cd1:20260910:0:41:transport_loss_uniform,2054423125279449459,s7cd1:20260910:0:41:transport_delay_uniform,4442075496520608021,s7cd1:20260910:0:41:outlier_mask_uniform,8674539527394858142,s7cd1:20260910:0:41:outlier_direction,7416173622666937325
informative,0,42,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:42:truth,18199678516614289143,s7cd1:20260910:0:42:nominal_bearing_noise,3350144245421697612,s7cd1:20260910:0:42:transport_loss_uniform,13880925484014514059,s7cd1:20260910:0:42:transport_delay_uniform,12998498666133862585,s7cd1:20260910:0:42:outlier_mask_uniform,10901388022045898569,s7cd1:20260910:0:42:outlier_direction,9929412992760818619
informative,0,43,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:43:truth,13786475693146697502,s7cd1:20260910:0:43:nominal_bearing_noise,3729076953714764774,s7cd1:20260910:0:43:transport_loss_uniform,14173843755153278864,s7cd1:20260910:0:43:transport_delay_uniform,8678356215516065253,s7cd1:20260910:0:43:outlier_mask_uniform,18234938178827209834,s7cd1:20260910:0:43:outlier_direction,6358782643351185880
informative,0,44,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:44:truth,13288039963040280095,s7cd1:20260910:0:44:nominal_bearing_noise,10179526411680647574,s7cd1:20260910:0:44:transport_loss_uniform,13932093876959305998,s7cd1:20260910:0:44:transport_delay_uniform,15238448471261975617,s7cd1:20260910:0:44:outlier_mask_uniform,7792165809911674990,s7cd1:20260910:0:44:outlier_direction,13458109511175978560
informative,0,45,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:45:truth,1974470966891861029,s7cd1:20260910:0:45:nominal_bearing_noise,5733582036659877118,s7cd1:20260910:0:45:transport_loss_uniform,14523296814041107419,s7cd1:20260910:0:45:transport_delay_uniform,15898990341344772800,s7cd1:20260910:0:45:outlier_mask_uniform,7094714471402233786,s7cd1:20260910:0:45:outlier_direction,14215032361861406298
informative,0,46,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:46:truth,3373786424014754685,s7cd1:20260910:0:46:nominal_bearing_noise,4907188120631076327,s7cd1:20260910:0:46:transport_loss_uniform,5164329076068083309,s7cd1:20260910:0:46:transport_delay_uniform,4798087385061869669,s7cd1:20260910:0:46:outlier_mask_uniform,6555284156463072398,s7cd1:20260910:0:46:outlier_direction,8245925867491832784
informative,0,47,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:47:truth,11322391968674909374,s7cd1:20260910:0:47:nominal_bearing_noise,8651205170123612991,s7cd1:20260910:0:47:transport_loss_uniform,14589013188459241999,s7cd1:20260910:0:47:transport_delay_uniform,15407780726865737486,s7cd1:20260910:0:47:outlier_mask_uniform,8810966233105213006,s7cd1:20260910:0:47:outlier_direction,5279627082494236261
informative,0,48,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:48:truth,4350212233164598426,s7cd1:20260910:0:48:nominal_bearing_noise,17874446339186255560,s7cd1:20260910:0:48:transport_loss_uniform,7392756401224583260,s7cd1:20260910:0:48:transport_delay_uniform,9547143800159815719,s7cd1:20260910:0:48:outlier_mask_uniform,8205334548427967165,s7cd1:20260910:0:48:outlier_direction,1105428160803876118
informative,0,49,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:49:truth,2136695309304266766,s7cd1:20260910:0:49:nominal_bearing_noise,17183033211308910730,s7cd1:20260910:0:49:transport_loss_uniform,6407666393571948466,s7cd1:20260910:0:49:transport_delay_uniform,4798974106326483399,s7cd1:20260910:0:49:outlier_mask_uniform,4071471459415630164,s7cd1:20260910:0:49:outlier_direction,2842421889784258560
informative,0,50,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:50:truth,5672212055836424943,s7cd1:20260910:0:50:nominal_bearing_noise,16018171719784090816,s7cd1:20260910:0:50:transport_loss_uniform,1521246897493008636,s7cd1:20260910:0:50:transport_delay_uniform,7977548281980650155,s7cd1:20260910:0:50:outlier_mask_uniform,2892671962331052008,s7cd1:20260910:0:50:outlier_direction,10308012575275660600
informative,0,51,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:51:truth,16445318130354674167,s7cd1:20260910:0:51:nominal_bearing_noise,6977995081447758615,s7cd1:20260910:0:51:transport_loss_uniform,7198147026658881207,s7cd1:20260910:0:51:transport_delay_uniform,6275098529977585237,s7cd1:20260910:0:51:outlier_mask_uniform,12164984961175314437,s7cd1:20260910:0:51:outlier_direction,80327025012298100
informative,0,52,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:52:truth,5872390834030787524,s7cd1:20260910:0:52:nominal_bearing_noise,10785967895404901406,s7cd1:20260910:0:52:transport_loss_uniform,7828272059238932674,s7cd1:20260910:0:52:transport_delay_uniform,12982967048362904323,s7cd1:20260910:0:52:outlier_mask_uniform,11244708584302054277,s7cd1:20260910:0:52:outlier_direction,1543463124141911975
informative,0,53,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:53:truth,13028969663906600603,s7cd1:20260910:0:53:nominal_bearing_noise,11831410428778326918,s7cd1:20260910:0:53:transport_loss_uniform,17300929540857249483,s7cd1:20260910:0:53:transport_delay_uniform,15496732560082635930,s7cd1:20260910:0:53:outlier_mask_uniform,3062576373610357749,s7cd1:20260910:0:53:outlier_direction,18088024164526452809
informative,0,54,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:54:truth,11564715692778531731,s7cd1:20260910:0:54:nominal_bearing_noise,6129722190907170125,s7cd1:20260910:0:54:transport_loss_uniform,4831593199375565837,s7cd1:20260910:0:54:transport_delay_uniform,12878885634289162313,s7cd1:20260910:0:54:outlier_mask_uniform,12234669068808121648,s7cd1:20260910:0:54:outlier_direction,17827647601301821949
informative,0,55,20260910,whole_base_sequence,9,True,"SeedSequence([base_seed,geometry_index,sequence_index,mechanism_id])",s7cd1:20260910:0:55:truth,7861209795883315698,s7cd1:20260910:0:55:nominal_bearing_noise,15197332627663406066,s7cd1:20260910:0:55:transport_loss_uniform,15713305640686922635,s7cd1:20260910:0:55:transport_delay_uniform,12929697012820071314,s7cd1:20260910:0:55:outlier_mask_uniform,50968590380394364,s7cd1:20260910:0:55:outlier_direction,2394880970335908286
